Key_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,State Type,Synonyms,Entity_Name
"TB_AUTORIDADE PK",61274658-750C-279B-D0A7-5228FB17A1B1,147,,1B2BB4B2-3E50-3B16-7C04-A91BEFD97CD8,72,Primary Key,,"TB_AUTORIDADE",
"TB_CHATBOT_LOG PK",57C285FA-3A69-B90D-F43F-D5DE8E553A65,148,,3B2701B3-D435-AEEA-AA32-F9606A6899F0,73,Primary Key,,"TB_CHATBOT_LOG",
"TB_ENDERECO PK",758EDA7E-807D-06CF-F58C-A1C408AD7F81,149,,948CB763-06B2-7089-5BCE-A2201CD40921,74,Primary Key,,"TB_ENDERECO",
"TB_ESTACOES_METEOROLOGICAS PK",CDFAE145-B949-6421-B58D-CB80EE600622,150,,396BA01D-AF73-4A6C-4589-80126BF986BA,75,Primary Key,,"TB_ESTACOES_METEOROLOGICAS",
"TB_MEDICOES_METEOROLOGICAS PK",C3BCF046-16D4-A731-66AB-1501147C556A,151,,71ED427E-3C76-14BB-18D2-6AE4331707F9,77,Primary Key,,"TB_MEDICOES_METEOROLOGICAS",
"TB_OCORRENCIA PK",6BE785AA-3868-05BA-7E26-59CC04079374,152,,14B7E047-E344-5F96-E458-3B352E4A38D6,78,Primary Key,,"TB_OCORRENCIA",
"TB_REGIAO_ATUACAO PK",B195420F-6CB5-6CF6-C500-B14006A56D94,153,,BB05F962-20AA-CCE9-18C2-51DEA2A9A7C1,79,Primary Key,,"TB_REGIAO_ATUACAO",
"TB_REPORTE_AUTORIDADE PK",E8323653-89FB-F2D1-3FC9-B22C950FD78D,154,,03FE75E7-2A8E-B202-ED63-6FDF16D724E6,81,Primary Key,,"TB_REPORTE_AUTORIDADE",
"TB_REPORTE_OCORRENCIA PK",A8F11672-98A3-39D1-B498-5A21CF8951E9,155,,549097C1-DAAD-397D-EACF-63D80E9B075B,82,Primary Key,,"TB_REPORTE_OCORRENCIA",
"TB_REPORTE PK",58373454-0DC8-204C-80D6-6F38BF549E72,156,,393993FF-19F1-E342-3FD5-AA99371CB3DF,80,Primary Key,,"TB_REPORTE",
"TB_STATUS_REPORTE PK",D079EDC7-D9F7-40C5-013A-8ABA1D037530,157,,79B6A2F5-EF0D-B830-8177-5E8D3B932C57,84,Primary Key,,"TB_STATUS_REPORTE",
"TB_STATUS PK",5667F480-8AED-602B-0881-F7EC689B78E4,158,,36BC0656-D8B2-44DA-7C3C-D4B113B12ED2,83,Primary Key,,"TB_STATUS",
"TB_SUBPREFEITURA PK",703F55A5-306D-8D01-A64B-9D4526FC638F,159,,CB146D74-772C-729F-4A55-8250F2A012C4,85,Primary Key,,"TB_SUBPREFEITURA",
