Table_Name,ObjectID,NumOID,ImportID,ModelID,Num_ModelID,Structured_Type_ID,Num_Structured_Type_ID,Structured_Type_Name,Number_Data_Elements,Classification_Type,Allow_Type_Substitution,Min_Volume,Expected_Volume,Max_Volume,Growth_Rate_Percents,Growth_Rate_Interval,Normal_Form,Temporary_Object_Scope,Adequately_Normalized,Substitution_Parent,Num_Substitution_Parent,Engineer,Spatial_Table,OID_is_PK,OID_is_User_Defined,Include_Scripts_Into_DDL
"TB_AUTORIDADE",1482759F-CE1E-5498-B570-C3DDF62619C9,176,,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,,,,6,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"TB_CHATBOT_LOG",D86CFD22-F867-2CF7-8C56-58ED42BD2BE6,177,,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,,,,6,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"TB_ENDERECO",F0DCA372-CFB3-982D-A9D7-FB7B55198534,178,,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,,,,7,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"TB_ESTACOES_METEOROLOGICAS",4093F3A3-25B5-9F08-38CC-C4E44E1D4650,179,,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"TB_LOGIN",9B179558-8D73-62CD-CABF-0674E0BE0F74,180,,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"TB_MEDICOES_METEOROLOGICAS",9B786F98-8A13-725C-01EA-774F48CB32B4,181,,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,,,,9,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"TB_OCORRENCIA",181CDE6C-9580-D608-098D-13672312B8E0,182,,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"TB_REGIAO_ATUACAO",94BE37A9-2BB8-3685-8B38-40F3E36358E7,183,,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"TB_REPORTE",6D3B484D-77F7-5E3A-0AD0-9B583EF0BCA5,184,,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,,,,5,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"TB_REPORTE_AUTORIDADE",E800FEE1-A976-F625-ECD8-A6E7FF637DC6,185,,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"TB_REPORTE_OCORRENCIA",788ED255-5CD3-AD7A-9E9D-374F298015C5,186,,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"TB_STATUS",2B0D87B5-F020-67C5-33D5-0396C399D2E5,187,,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"TB_STATUS_REPORTE",BF34F1FB-612B-E75C-69C9-E2368632743E,188,,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"TB_SUBPREFEITURA",734B5407-7EC9-92F6-0F6E-FEFD1CA0C7B0,189,,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
